num_s: 13
num_e: 13
Iteration 1: LL: -44.74794196630024, ll_diff: inf
Iteration 187: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 188: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 189: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 190: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 191: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 192: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 193: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 194: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 195: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 196: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 197: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 198: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 199: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 200: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 201: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 202: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 203: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 204: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 205: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 206: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 207: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 208: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 209: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 210: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 211: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 212: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 213: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 214: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 215: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 216: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 217: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 218: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 219: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 220: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 221: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 222: LL: -43.66845959403453, ll_diff: 16.08872148366457
